,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,0140105686,SYSC llc,2020-04-22 06:37:46.250000,2020.0,2960623488.0,2020-03-30 00:00:00,2020-04-10 00:00:00,2020-03-31 00:00:00,CA10,2309.7899999999995,0-15
1,U001,0200744019,TARG us,2020-04-10 21:44:45,2020.0,1930659387.0,2020-03-19 00:00:00,2020-04-03 00:00:00,2020-03-19 00:00:00,NAA8,11173.02,0-15
2,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
3,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
4,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
5,U001,0200744019,TARG associates,2020-04-12 20:14:28.687500,2020.0,1930676042.0,2020-03-21 00:00:00,2020-04-05 00:00:00,2020-03-21 00:00:00,NAA8,5893.01,0-15
6,CA02,0140106408,WAL-M corp,2020-04-06 06:27:17.625000,2020.0,2960618790.0,2020-03-06 00:00:00,2020-03-16 00:00:00,2020-03-06 00:00:00,CA10,64982.589,16-30
7,U001,0200337148,COAS llc,2020-03-17 21:07:50.242187500,2020.0,1930592246.0,2020-03-02 00:00:00,2020-03-17 00:00:00,2020-03-02 00:00:00,NAA8,11380.83,0-15
8,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
9,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
10,U001,0200803720,DEC corp,2020-04-13 06:54:01.562500,2020.0,1930698352.0,2020-03-25 00:00:00,2020-04-08 00:00:00,2020-03-16 00:00:00,NAM4,138.6,0-15
11,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
12,U001,0200020431,DEC us,2020-05-29 07:13:46.718750,2020.0,1930861637.0,2020-05-06 00:00:00,2020-05-24 00:00:00,2020-05-01 00:00:00,NAM4,174.72,0-15
13,U001,0200769623,WAL-MAR associates,2020-04-05 09:57:04.187500,2020.0,1930635649.0,2020-03-12 00:00:00,2020-03-27 00:00:00,2020-03-12 00:00:00,NAH4,767.78,0-15
14,CA02,140105785,SHOPPE foundation,2020-04-23 15:02:12.125000,2020.0,2960624627.0,2020-03-27 00:00:00,2020-04-10 00:00:00,2020-03-31 00:00:00,CA10,1980.7199999999998,0-15
15,U001,0200769623,WAL-MAR ,2020-03-23 19:25:37.250000,2020.0,1930577078.0,2020-02-28 00:00:00,2020-03-14 00:00:00,2020-02-28 00:00:00,NAH4,14514.68,0-15
16,U001,0200769623,WAL-MAR foundation,2020-05-09 20:19:27.750000,2020.0,1930774741.0,2020-04-10 00:00:00,2020-04-25 00:00:00,2020-04-10 00:00:00,NAH4,55400.31,0-15
17,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
18,U001,0200900909,SYSCO systems,2020-04-17 06:02:24.656250,2020.0,1930645969.0,2020-03-13 00:00:00,2020-04-14 00:00:00,2020-03-13 00:00:00,NA32,31512.75,0-15
19,U001,0200769623,WAL-MAR systems,2020-05-01 23:21:34.250000,2020.0,1930718081.0,2020-03-30 00:00:00,2020-04-14 00:00:00,2020-03-30 00:00:00,NAH4,19701.55,16-30
20,U001,0200726979,BJ'S  trust,2020-05-07 01:00:58.343750,2020.0,1930788667.0,2020-04-16 00:00:00,2020-05-01 00:00:00,2020-04-16 00:00:00,NAA8,132.72,0-15
21,U001,0200769623,WAL-MAR llc,2020-04-28 02:53:37.875000,2020.0,1930709919.0,2020-03-29 00:00:00,2020-04-13 00:00:00,2020-03-29 00:00:00,NAH4,1121.15,16-30
22,U001,0200769623,WAL-MAR llc,2020-05-07 20:56:08.750000,2020.0,1930752568.0,2020-04-06 00:00:00,2020-04-21 00:00:00,2020-04-06 00:00:00,NAH4,11394.84,16-30
23,CA02,0140105847,GORDON F co,2020-04-23 10:00:57.437500,2020.0,2960627274.0,2020-04-08 00:00:00,2020-04-18 00:00:00,2020-04-08 00:00:00,CA10,2579.64,0-15
24,U001,0200744019,TARG foundation,2020-03-30 03:01:52.474609375,2020.0,1930648342.0,2020-03-15 00:00:00,2020-03-30 00:00:00,2020-03-15 00:00:00,NAA8,52123.3,0-15
25,U001,0200769623,WAL-MAR systems,2020-04-12 18:16:54.625000,2020.0,1930632791.0,2020-03-10 00:00:00,2020-03-25 00:00:00,2020-03-10 00:00:00,NAH4,14994.01,16-30
26,U001,0200769623,WAL-MAR llc,2020-04-04 10:02:52.125000,2020.0,1930617194.0,2020-03-06 00:00:00,2020-03-21 00:00:00,2020-03-06 00:00:00,NAH4,36.06,0-15
27,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
28,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
29,U001,0100031704,DELHAIZE associates,2020-05-02 03:33:02,2020.0,1930789873.0,2020-04-15 00:00:00,2020-04-30 00:00:00,2020-04-15 00:00:00,NAA8,70181.07,0-15
30,U001,0200769623,WAL-MAR trust,2020-04-30 05:54:31.875000,2020.0,1930705172.0,2020-03-28 00:00:00,2020-04-12 00:00:00,2020-03-28 00:00:00,NAH4,3403.8,16-30
31,U001,0200744019,TARG systems,2020-05-17 01:32:05.031250,2020.0,1930620634.0,2020-03-10 00:00:00,2020-05-14 00:00:00,2020-03-10 00:00:00,NAGD,10665.53,0-15
32,U001,0200769623,WAL-MAR ,2020-04-18 23:56:41.625000,2020.0,1930676002.0,2020-03-21 00:00:00,2020-04-05 00:00:00,2020-03-21 00:00:00,NAH4,7280.51,0-15
33,U001,0200726979,BJ'S  corporation,2020-03-18 16:03:59.500000,2020.0,1930585378.0,2020-03-02 00:00:00,2020-03-17 00:00:00,2020-03-02 00:00:00,NAA8,13681.7,0-15
34,U001,0200706844,WINC associates,2020-05-18 15:42:02.500000,2020.0,1930773419.0,2020-04-07 00:00:00,2020-04-22 00:00:00,2020-04-07 00:00:00,NAA8,33947.85,16-30
35,U001,0200793830,M llc,2020-04-24 23:43:15.218750,2020.0,1930767747.0,2020-04-08 00:00:00,2020-04-23 00:00:00,2020-04-08 00:00:00,NAA8,4537.14,0-15
36,U001,0200769623,WAL-MAR foundation,2020-05-08 02:31:55.500000,2020.0,1930750455.0,2020-04-06 00:00:00,2020-04-21 00:00:00,2020-04-06 00:00:00,NAH4,14355.96,16-30
37,U001,0200769623,WAL-MAR systems,2020-05-09 04:35:49,2020.0,1930738904.0,2020-04-03 00:00:00,2020-04-18 00:00:00,2020-04-03 00:00:00,NAH4,367.71,16-30
38,U001,0200769623,WAL-MAR trust,2020-06-09 02:46:38.750000,2020.0,1930862467.0,2020-05-06 00:00:00,2020-05-21 00:00:00,2020-05-06 00:00:00,NAH4,56284.77,16-30
39,U001,0200769623,WAL-MAR systems,2020-03-30 17:15:32,2020.0,1930582162.0,2020-02-29 00:00:00,2020-03-15 00:00:00,2020-02-29 00:00:00,NAH4,50493.86,16-30
40,U001,0200769623,WAL-MAR llc,2020-05-22 07:12:37.500000,2020.0,1930802490.0,2020-04-21 00:00:00,2020-05-06 00:00:00,2020-04-21 00:00:00,NAH4,15489.43,16-30
41,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
42,U001,0200726979,BJ'S  systems,2020-05-10 04:30:54.875000,2020.0,1930801417.0,2020-04-19 00:00:00,2020-05-04 00:00:00,2020-04-19 00:00:00,NAA8,360.33,0-15
43,U001,0200743996,STATER  llc,2020-05-21 15:52:29.328125,2020.0,1930660304.0,2020-03-16 00:00:00,2020-05-20 00:00:00,2020-03-16 00:00:00,NAGD,3826.03,0-15
44,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
45,CA02,140105686,SYSC llc,2020-05-21 09:16:40.531250,2020.0,2960633120.0,2020-05-06 00:00:00,2020-05-18 00:00:00,2020-05-08 00:00:00,CA10,43230.299,0-15
46,U001,0200711029,WEGMAN corp,2020-05-15 02:52:48.250000,2020.0,1930742932.0,2020-04-03 00:00:00,2020-04-18 00:00:00,2020-04-03 00:00:00,NAA8,14382.22,16-30
47,CA02,CCU001,KRAFT  corporation,2020-05-05 03:25:22.687500,2020.0,2960622220.0,2020-03-20 00:00:00,2020-04-27 00:00:00,2020-03-23 00:00:00,NAG2,17828.068999999996,0-15
48,U001,0200769623,WAL-MAR llc,2020-05-20 01:10:49.875000,2020.0,1930804924.0,2020-04-21 00:00:00,2020-05-06 00:00:00,2020-04-21 00:00:00,NAH4,35509.95,0-15
49,U001,0200769623,WAL-MAR associates,2020-04-30 12:16:05.062500,2020.0,1930746955.0,2020-04-05 00:00:00,2020-04-20 00:00:00,2020-04-05 00:00:00,NAH4,13512.61,0-15
50,U001,0200772670,ASSOCIAT corp,2020-04-09 07:34:37.039062500,2020.0,1930698156.0,2020-03-24 00:00:00,2020-04-08 00:00:00,2020-03-24 00:00:00,NAU5,24421.33,0-15
51,U001,0200769623,WAL-MAR co,2020-05-24 08:42:43.500000,2020.0,1930801200.0,2020-04-19 00:00:00,2020-05-04 00:00:00,2020-04-19 00:00:00,NAH4,11217.33,16-30
52,U001,0200769623,WAL-MAR systems,2020-05-16 11:03:53.750000,2020.0,1930776682.0,2020-04-13 00:00:00,2020-04-28 00:00:00,2020-04-13 00:00:00,NAH4,12554.13,16-30
53,U001,0200720238,WOODM co,2020-05-28 09:35:01.562500,2020.0,1930858727.0,2020-05-06 00:00:00,2020-05-21 00:00:00,2020-05-06 00:00:00,NAA8,126919.03,0-15
54,CA02,140106408,WAL-M in,2020-05-27 20:27:57.125000,2020.0,2960631200.0,2020-04-25 00:00:00,2020-05-05 00:00:00,2020-04-25 00:00:00,CA10,28537.684,16-30
55,U001,0200769623,WAL-MAR us,2020-04-20 00:00:27.250000,2020.0,1930653060.0,2020-03-15 00:00:00,2020-03-30 00:00:00,2020-03-15 00:00:00,NAH4,50202.83,16-30
56,U001,0200769623,WAL-MAR us,2020-05-09 08:31:50.125000,2020.0,1930715979.0,2020-04-01 00:00:00,2020-04-16 00:00:00,2020-04-01 00:00:00,NAH4,8299.7,16-30
57,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
